"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"T-Mobile Park",2021,6742,145,47929,14.07
"T-Mobile Park",2022,23463,191,47929,48.95
"T-Mobile Park",2021,7429,229,47929,15.5
"T-Mobile Park",2023,37063,190,47929,77.33
"T-Mobile Park",2021,28638,259,47929,59.75
"T-Mobile Park",2024,44924,158,47929,93.73
"T-Mobile Park",2023,14899,159,47929,31.09
"T-Mobile Park",2023,45823,161,47929,95.61
"T-Mobile Park",2022,28583,246,47929,59.64
"T-Mobile Park",2022,44965,169,47929,93.82
"T-Mobile Park",2024,21689,154,47929,45.25
"T-Mobile Park",2024,34885,202,47929,72.78
"T-Mobile Park",2022,27314,228,47929,56.99
"T-Mobile Park",2023,19268,120,47929,40.2
"T-Mobile Park",2022,16024,159,47929,33.43
"T-Mobile Park",2022,26154,234,47929,54.57
"T-Mobile Park",2023,42277,162,47929,88.21
"T-Mobile Park",2024,32423,155,47929,67.65
"T-Mobile Park",2024,35551,168,47929,74.17
"T-Mobile Park",2024,39932,167,47929,83.31
"T-Mobile Park",2021,8462,191,47929,17.66
"T-Mobile Park",2022,21094,228,47929,44.01
"T-Mobile Park",2023,17461,140,47929,36.43
"T-Mobile Park",2023,19510,167,47929,40.71
"T-Mobile Park",2021,7980,225,47929,16.65
"T-Mobile Park",2022,24238,173,47929,50.57
"T-Mobile Park",2021,18908,254,47929,39.45
"T-Mobile Park",2023,43817,154,47929,91.42
"T-Mobile Park",2021,8967,184,47929,18.71
"T-Mobile Park",2023,32209,157,47929,67.2
"T-Mobile Park",2021,28207,180,47929,58.85
"T-Mobile Park",2021,8098,174,47929,16.9
"T-Mobile Park",2022,38504,156,47929,80.34
"T-Mobile Park",2023,14276,163,47929,29.79
"T-Mobile Park",2022,25837,179,47929,53.91
"T-Mobile Park",2021,8998,148,47929,18.77
"T-Mobile Park",2021,9160,213,47929,19.11
"T-Mobile Park",2024,34889,151,47929,72.79
"T-Mobile Park",2023,20498,164,47929,42.77
"T-Mobile Park",2023,34045,177,47929,71.03
"T-Mobile Park",2022,45190,151,47929,94.29
"T-Mobile Park",2023,25648,175,47929,53.51
"T-Mobile Park",2024,41429,146,47929,86.44
"T-Mobile Park",2021,14379,158,47929,30
"T-Mobile Park",2024,31674,186,47929,66.09
"T-Mobile Park",2021,17524,147,47929,36.56
"T-Mobile Park",2024,22212,169,47929,46.34
"T-Mobile Park",2021,15789,192,47929,32.94
"T-Mobile Park",2023,31516,185,47929,65.76
"T-Mobile Park",2024,45584,138,47929,95.11
"T-Mobile Park",2022,42654,216,47929,88.99
"T-Mobile Park",2024,31407,148,47929,65.53
"T-Mobile Park",2024,26496,133,47929,55.28
"T-Mobile Park",2021,26020,212,47929,54.29
"T-Mobile Park",2021,9880,156,47929,20.61
"T-Mobile Park",2021,17366,186,47929,36.23
"T-Mobile Park",2023,26437,145,47929,55.16
"T-Mobile Park",2021,10605,166,47929,22.13
"T-Mobile Park",2021,8959,199,47929,18.69
