"Stadium_Name","Year","Spectator_Count","Game_Length"
"Guaranteed Rate Field;U.S. Cellular Field",2024,11008,136
"Comerica Park",2024,19806,145
"Minute Maid Park",2024,28124,124
"Target Field",2024,22235,158
"Safeco Field",2024,22233,177
"Globe Life Field in Arlington",2024,29276,146
"Wrigley Field",2024,36202,147
"Dodger Stadium",2024,53527,169
"Citizens Bank Park",2024,38267,209
"Fenway Park",2024,31704,192
"Minute Maid Park",2024,26377,143
"Target Field",2024,31569,135
"Chase Field",2024,25122,137
"Truist Park",2024,40186,174
"Wrigley Field",2024,35372,177
"Dodger Stadium",2024,46832,139
"Marlins Park",2024,13555,147
"Citizens Bank Park",2024,44507,135
"Oracle Park",2024,32025,181
"Busch Stadium III",2024,37961,172
"Oriole Park at Camden Yards",2024,38882,151
"Progressive Field",2024,30121,152
"Minute Maid Park",2024,31334,159
"Kauffman Stadium",2024,24585,147
"Yankee Stadium II",2024,46025,152
"Globe Life Field in Arlington",2024,37922,170
"Rogers Centre",2024,32640,160
"Chase Field",2024,35826,171
"Wrigley Field",2024,39857,130
"Dodger Stadium",2024,49239,127
"Marlins Park",2024,15304,189
"Citizens Bank Park",2024,43112,172
"Oracle Park",2024,31098,167
"Busch Stadium III",2024,40690,160
"Oriole Park at Camden Yards",2024,19286,165
"Progressive Field",2024,35545,165
"Minute Maid Park",2024,34212,150
"Kauffman Stadium",2024,22014,139
"Yankee Stadium II",2024,43194,149
"Globe Life Field in Arlington",2024,36457,224
"Rogers Centre",2024,34416,162
"Chase Field",2024,26991,157
"Truist Park",2024,39203,173
"Wrigley Field",2024,39008,165
"Dodger Stadium",2024,52656,174
"Marlins Park",2024,19946,179
"Citizens Bank Park",2024,44713,173
"Oracle Park",2024,34766,146
"Busch Stadium III",2024,39316,171
"Oriole Park at Camden Yards",2024,30494,147
"Progressive Field",2024,25136,136
"Minute Maid Park",2024,34045,170
"Kauffman Stadium",2024,20035,143
"Yankee Stadium II",2024,41041,153
"Globe Life Field in Arlington",2024,36009,143
"Rogers Centre",2024,35840,147
"Truist Park",2024,35113,163
"Truist Park",2024,34753,138
"Dodger Stadium",2024,37634,159
"Marlins Park",2024,8255,169
"Busch Stadium III",2024,35598,169
"Nationals Park",2024,16979,142
"Progressive Field",2024,20046,136
"Minute Maid Park",2024,29821,156
"Kauffman Stadium",2024,12986,160
"Yankee Stadium II",2024,37590,154
"Tropicana Field",2024,13489,128
"Rogers Centre",2024,36993,155
"Wrigley Field",2024,36121,194
"Great American Ballpark",2024,18996,138
"Dodger Stadium",2024,46180,150
"Marlins Park",2024,6799,164
"Citizens Bank Park",2024,41083,156
"PNC Park",2024,12652,183
"Busch Stadium III",2024,32582,128
"Nationals Park",2024,23597,140
"Progressive Field",2024,20977,155
"Minute Maid Park",2024,30891,178
"Kauffman Stadium",2024,14031,139
"Yankee Stadium II",2024,37257,178
"Oakland-Alameda County Coliseum",2024,4005,137
"Tropicana Field",2024,12274,139
"Rogers Centre",2024,28176,141
"Wrigley Field",2024,37584,128
"Great American Ballpark",2024,14255,131
"Dodger Stadium",2024,46593,160
"Marlins Park",2024,7792,114
"Citizens Bank Park",2024,39595,169
"PNC Park",2024,13830,203
"Busch Stadium III",2024,33324,152
"Nationals Park",2024,21837,154
"Progressive Field",2024,22322,165
"Minute Maid Park",2024,30599,138
"Kauffman Stadium",2024,15004,156
"Yankee Stadium II",2024,40224,163
"Oakland-Alameda County Coliseum",2024,3617,189
"Tropicana Field",2024,13095,160
"Rogers Centre",2024,28670,163
"Wrigley Field",2024,35646,154
"Great American Ballpark",2024,16479,195
"Citizens Bank Park",2024,42377,148
"PNC Park",2024,23162,165
"Guaranteed Rate Field;U.S. Cellular Field",2024,15843,189
"Comerica Park",2024,17049,150
"Yankee Stadium II",2024,43121,163
"Oakland-Alameda County Coliseum",2024,6886,192
"Chase Field",2024,22642,118
"Great American Ballpark",2024,40074,176
"Coors Field",2024,35007,167
"Citi Field",2024,26658,165
"PNC Park",2024,35822,158
"Petco Park",2024,43505,151
"Nationals Park",2024,23789,127
"Angel Stadium of Anaheim",2024,37618,160
"Fenway Park",2024,30992,157
"Guaranteed Rate Field;U.S. Cellular Field",2024,18831,177
"Comerica Park",2024,27160,157
"Target Field",2024,21857,155
"Oakland-Alameda County Coliseum",2024,9676,151
"Tropicana Field",2024,16368,145
"Chase Field",2024,31966,141
"Great American Ballpark",2024,41880,149
"Coors Field",2024,37535,179
"Citi Field",2024,32971,183
